,Unnamed: 0,1700022I11Rik,1810046K07Rik,5031425F14Rik,5730522E02Rik,Acta2,Adam2,Adamts2,Adamts4,Adra1b,Alk,Ankfn1,Ano4,Aqp4,Asic4,B4galnt2,B4galnt3,Barx2,Bcl11b,Bdnf,Bgn,Blank-1,Blank-10,Blank-2,Blank-3,Blank-4,Blank-5,Blank-6,Blank-7,Blank-8,Blank-9,Blnk,Bmpr1b,Brinp3,C1ql3,C1qtnf7,Cacng5,Calb1,Calb2,Camk2d,Car3,Cbln2,Cbln4,Ccbe1,Ccdc162,Ccdc3,Ccdc80,Ccnb1,Cd14,Cd24a,Cd52,Cdca7,Cdcp1,Cdh12,Cdh13,Cdh20,Cdh9,Ceacam9,Cemip,Chat,Chn2,Chodl,Chrm2,Chrna2,Cldn5,Clrn1,Cnr1,Cntnap5b,Cobll1,Col14a1,Col15a1,Col23a1,Col24a1,Col25a1,Corin,Cplx3,Crhr2,Crispld2,Cspg4,Ctss,Cux2,Cxcl14,Daam2,Dmkn,Dnase1l3,Dscaml1,Egfem1,Egfr,Egln3,Egr2,Elfn1,Enpp6,Epha7,Fam19a2,Fam84b,Fbxl7,Fezf2,Flrt3,Flt1,Fndc7,Fosb,Foxp2,Frem2,Fst,Gad1,Gad2,Gfap,Glra1,Gpc6,Grik1,Grin3a,Grm1,Grm8,Hpse,Hs3st5,Igf2,Igfbp4,Igfbp5,Igfbp6,Ikzf2,Il1rapl2,Il4ra,Inpp4b,Iqgap2,Itgb8,Kcng1,Kcnj8,L3mbtl4,Lama3,Lamp5,Lhx6,Lmo1,Lsp1,Ltf,Luzp2,Lypd1,Lyzl4,March1,Marcksl1,Meis2,Moxd1,Mrc1,Mrgprx2,Muc20,Mup5,Myh14,Ndst4,Nhs,Nkain3,Nnmt,Nos1,Npas1,Npnt,Npsr1,Npy2r,Nr2f2,Nr4a1,Nr4a2,Ntng2,Nxph1,Nxph2,Nxph4,Olah,Olfm3,Opalin,Oprk1,Osr1,Otof,Parm1,Pcdh8,Pde11a,Pdgfc,Pdgfra,Pdlim5,Penk,Phactr2,Plch1,Plcxd3,Pld5,Plekhg3,Pou3f1,Pou3f3,Pou6f2,Prdm8,Prok2,Prokr2,Prox1,Prr16,Prss12,Prss23,Ptger3,Ptprk,Ptprm,Ptprt,Ptpru,Pvalb,Pxdc1,Rab3b,Ramp1,Reln,Rerg,Rfx3,Rgs5,Rgs6,Rnf152,Ror1,Rorb,Rprml,Rspo1,Rxfp1,Rxfp2,Satb2,Scgn,Sema3e,Sema5a,Serpinf1,Sertm1,Sgcd,Shisa9,Slc17a6,Slc17a7,Slc17a8,Slc25a13,Slc30a3,Slc32a1,Slc44a5,Slco5a1,Sncg,Sox10,Sox6,Sp8,Spon1,Sst,St6galnac5,Sulf1,Sulf2,Syndig1,Syt10,Syt6,Tac2,Tbc1d4,Tcap,Teddm3,Tenm3,Th,Thbs2,Thsd7a,Timp3,Tmem163,Tmtc2,Tnfaip6,Tox,Trp53i11,Trpc4,Trpc6,Tshz2,Tunar,Ubash3b,Unc13c,Unc5b,Unc5d,Ust,Vip,Vipr2,Vtn,Vwc2,Wipf3,Wnt7b,Zfp804b,area,position,total_reads,simpleClass,x_um,y_um
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,1,4,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,154,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,328,0,0,1,0,0,0,170.0999999999926,[1161.11337076 6178.3830543 ],870,67,1161.11337076,6178.3830543
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,1,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,16,1,0,0,1,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,1,3,0,0,0,6,2,0,0,0,2,0,3,1,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,14,0,0,4,1,0,1,0,0,0,1,1,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,12,0,26,0,0,0,5,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,4,10,158,0,0,1,0,1,1,0,0,0,0,1,22,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,25,1,0,0,0,0,1,0,0,0,9,1,0,1,206.5499999999994,[1162.91337076 6113.1330543 ],454,233,1162.91337076,6113.1330543
2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,1,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,184.68000000000214,[1168.31337076 6046.0830543 ],269,97,1168.31337076,6046.0830543
3,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,1,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,42,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,5,0,1,0,0,0,10,1,0,0,1,0,0,0,0,0,0,1,1,172,0,0,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,14,0,0,3,0,0,0,87.48000000000047,[1163.81337076 6202.6830543 ],340,105,1163.81337076,6202.6830543
4,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,4,2,0,1,0,0,0,2,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,1,0,2,2,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,1,2,1,88,0,1,2,0,1,0,1,0,0,0,0,10,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,19,0,0,0,0,0,1,4,0,0,4,3,0,1,155.52000000000524,[1166.96337076 6083.8830543 ],241,72,1166.96337076,6083.8830543
5,5,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,48,1,0,0,0,1,0,0,3,0,0,1,2,0,0,0,18,0,0,0,1,0,0,0,1,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,5,11,0,0,0,0,0,0,1,4,0,0,0,10,0,0,0,2,0,0,2,1,0,3,0,0,0,20,0,0,0,0,0,0,1,0,0,0,8,1,1,2,0,0,1,3,0,0,3,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,6,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,2,0,10,0,34,0,0,0,8,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,5,164,0,0,2,0,3,1,1,0,0,0,0,2,2,0,6,0,0,0,8,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,24,0,0,0,0,0,0,4,0,0,11,3,0,0,233.2800000000095,[1171.46337076 6151.3830543 ],517,225,1171.46337076,6151.3830543
6,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,1,2,0,2,0,0,1,0,0,2,16,1,0,0,0,0,0,1,0,1,0,4,1,0,3,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,4,0,16,0,0,3,8,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,9,208,0,2,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,6,1,0,7,1,0,0,215.46000000000686,[1173.26337076 6206.7330543 ],429,193,1173.26337076,6206.7330543
7,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,18,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,4,0,0,0,2,0,2,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,2,204,0,0,0,0,0,0,1,0,0,0,0,22,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,24,0,0,0,1,0,0,4,0,0,1,0,0,0,204.12000000000648,[1184.06337076 6221.5830543 ],376,73,1184.06337076,6221.5830543
8,8,0,0,0,2,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,0,1,0,0,0,1,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,2,0,0,1,0,0,0,0,0,7,5,0,1,0,0,0,0,1,5,0,0,0,76,42,0,1,1,1,1,4,1,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,1,1,4,1,0,1,3,0,0,0,8,3,1,0,0,0,1,0,0,0,0,2,7,0,2,0,13,0,0,1,1,0,0,0,3,1,0,1,0,1,20,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,2,12,0,30,0,0,0,8,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,4,7,152,0,0,0,0,0,0,0,1,0,0,0,6,0,0,5,0,0,0,6,0,0,0,0,0,0,1,0,0,1,1,2,0,2,0,22,0,0,0,0,0,1,40,0,0,10,1,0,0,320.7600000000038,[1193.96337076 6186.4830543 ],789,227,1193.96337076,6186.4830543
9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,2,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,2,3,0,0,194.40000000000737,[1197.11337076 6076.6830543 ],162,235,1197.11337076,6076.6830543
